movie_title,domestic_gross,total_gross,budget,runtime_minutes,genres,rating,imd_url,director,producers,cinematographer,distributor
Shaft,70334258,107196498,46000000.0,99.0,Action,R,https://pro.imdb.com/title/tt0162650?ref_=mojo_rl_summary&rf=mojo_rl_summary,John Singleton,Scott Rudin,Donald E. Thorin,Paramount Pictures
The Green Mile,136801374,286801374,60000000.0,189.0,Crime,R,https://pro.imdb.com/title/tt0120689?ref_=mojo_rl_summary&rf=mojo_rl_summary,Frank Darabont,Frank Darabont,David Tattersall,Warner Bros.
The Kid,69691949,110317580,65000000.0,104.0,Comedy,PG,https://pro.imdb.com/title/tt0219854?ref_=mojo_rl_summary&rf=mojo_rl_summary,Jon Turteltaub,Hunt Lowry,Peter Menzies Jr.,Walt Disney Studios Motion Pictures
Rugrats in Paris,76507756,103291131,30000000.0,78.0,Adventure,,https://pro.imdb.com/title/tt0213203?ref_=mojo_rl_summary&rf=mojo_rl_summary,Stig Bergqvist,Gabor Csupo,,Paramount Pictures
Road Trip,68540777,119754278,16000000.0,93.0,Comedy,R,https://pro.imdb.com/title/tt0215129?ref_=mojo_rl_summary&rf=mojo_rl_summary,Todd Phillips,Daniel Goldberg,Mark Irwin,DreamWorks Distribution
Bring It On,68379000,90449929,11000000.0,98.0,Comedy,PG-13,https://pro.imdb.com/title/tt0204946?ref_=mojo_rl_summary&rf=mojo_rl_summary,Peyton Reed,Marc Abraham,Shawn Maurer,Universal Pictures
Rules of Engagement,61335230,71732303,60000000.0,128.0,Drama,R,https://pro.imdb.com/title/tt0160797?ref_=mojo_rl_summary&rf=mojo_rl_summary,William Friedkin,Scott Rudin,William A. Fraker,Paramount Pictures
The Cell,61334059,104155843,33000000.0,107.0,Horror,R,https://pro.imdb.com/title/tt0209958?ref_=mojo_rl_summary&rf=mojo_rl_summary,Tarsem Singh,Julio Caro,Paul Laufer,New Line Cinema
Mission to Mars,60883407,110983407,100000000.0,114.0,Adventure,PG,https://pro.imdb.com/title/tt0183523?ref_=mojo_rl_summary&rf=mojo_rl_summary,Brian De Palma,Tom Jacobson,Stephen H. Burum,Walt Disney Studios Motion Pictures
Coyote Ugly,60786269,113916474,45000000.0,100.0,Comedy,PG-13,https://pro.imdb.com/title/tt0200550?ref_=mojo_rl_summary&rf=mojo_rl_summary,David McNally,Jerry Bruckheimer,Amir Mokri,Walt Disney Studios Motion Pictures
Snow Day,60020107,62464731,13000000.0,89.0,Adventure,PG,https://pro.imdb.com/title/tt0184907?ref_=mojo_rl_summary&rf=mojo_rl_summary,Chris Koch,Albie Hecht,Robbie Greenberg,Paramount Pictures
Fantasia 2000,60655420,90874570,80000000.0,75.0,Animation,,https://pro.imdb.com/title/tt0120910?ref_=mojo_rl_summary&rf=mojo_rl_summary,James Algar,Donald W. Ernst,Tim Suhrstedt,Walt Disney Studios Motion Pictures
American Beauty,130096601,356296601,15000000.0,122.0,Drama,R,https://pro.imdb.com/title/tt0169547?ref_=mojo_rl_summary&rf=mojo_rl_summary,Sam Mendes,Bruce Cohen,Conrad L. Hall,DreamWorks Distribution
Next Friday,57328603,59827328,11000000.0,98.0,Comedy,R,https://pro.imdb.com/title/tt0195945?ref_=mojo_rl_summary&rf=mojo_rl_summary,Steve Carr,Ice Cube,Christopher Baffa,New Line Cinema
The Whole Nine Yards,57262492,106371651,41300000.0,98.0,Comedy,,https://pro.imdb.com/title/tt0190138?ref_=mojo_rl_summary&rf=mojo_rl_summary,Jonathan Lynn,Allan Kaufman,David Franco,Warner Bros.
Shanghai Noon,56937502,99274467,55000000.0,110.0,Action,PG-13,https://pro.imdb.com/title/tt0184894?ref_=mojo_rl_summary&rf=mojo_rl_summary,Tom Dey,Gary Barber,Dan Mindel,Walt Disney Studios Motion Pictures
Romeo Must Die,55973336,91036760,25000000.0,115.0,Action,R,https://pro.imdb.com/title/tt0165929?ref_=mojo_rl_summary&rf=mojo_rl_summary,Andrzej Bartkowiak,Joel Silver,Glen MacPherson,Warner Bros.
102 Dalmatians,66957026,183611771,85000000.0,100.0,Adventure,,https://pro.imdb.com/title/tt0211181?ref_=mojo_rl_summary&rf=mojo_rl_summary,Kevin Lima,Frédéric Bovis,Adrian Biddle,Walt Disney Studios Motion Pictures
The Cider House Rules,57545092,88545092,24000000.0,126.0,Drama,PG-13,https://pro.imdb.com/title/tt0124315?ref_=mojo_rl_summary&rf=mojo_rl_summary,Lasse Hallström,Richard N. Gladstein,Oliver Stapleton,Miramax
Final Destination,53331147,112880294,23000000.0,98.0,Horror,R,https://pro.imdb.com/title/tt0195714?ref_=mojo_rl_summary&rf=mojo_rl_summary,James Wong,Glen Morgan,Robert McLachlan,New Line Cinema
The Talented Mr. Ripley,81298265,128798265,40000000.0,139.0,Crime,R,https://pro.imdb.com/title/tt0134119?ref_=mojo_rl_summary&rf=mojo_rl_summary,Anthony Minghella,William Horberg,John Seale,Paramount Pictures
Galaxy Quest,71583916,90683916,45000000.0,102.0,Adventure,PG,https://pro.imdb.com/title/tt0177789?ref_=mojo_rl_summary&rf=mojo_rl_summary,Dean Parisot,Mark Johnson,Jerzy Zielinski,DreamWorks Distribution
The Road to El Dorado,50863742,76432727,95000000.0,89.0,Adventure,PG,https://pro.imdb.com/title/tt0138749?ref_=mojo_rl_summary&rf=mojo_rl_summary,Bibo Bergeron,Brooke Breton,,DreamWorks Distribution
The Hurricane,50699241,73956241,50000000.0,146.0,Biography,R,https://pro.imdb.com/title/tt0174856?ref_=mojo_rl_summary&rf=mojo_rl_summary,Norman Jewison,Armyan Bernstein,Roger Deakins,Universal Pictures
Vertical Limit,69243859,215663859,75000000.0,124.0,Action,PG-13,https://pro.imdb.com/title/tt0190865?ref_=mojo_rl_summary&rf=mojo_rl_summary,Martin Campbell,Martin Campbell,David Tattersall,Sony Pictures Entertainment (SPE)
Men of Honor,48818921,82343495,32000000.0,129.0,Biography,R,https://pro.imdb.com/title/tt0203019?ref_=mojo_rl_summary&rf=mojo_rl_summary,George Tillman Jr.,Bill Badalato,Anthony B. Richmond,Twentieth Century Fox
Toy Story 2,245852179,487059677,90000000.0,92.0,Adventure,,https://pro.imdb.com/title/tt0120363?ref_=mojo_rl_summary&rf=mojo_rl_summary,John Lasseter,Karen Robert Jackson,Sharon Calahan,Walt Disney Studios Motion Pictures
The Tigger Movie,45554533,96159800,30000000.0,77.0,Animation,,https://pro.imdb.com/title/tt0220099?ref_=mojo_rl_summary&rf=mojo_rl_summary,Jun Falkenstein,Cheryl Abood,Allen Daviau,Walt Disney Studios Motion Pictures
Frequency,45010278,68106245,31000000.0,118.0,Crime,PG-13,https://pro.imdb.com/title/tt0186151?ref_=mojo_rl_summary&rf=mojo_rl_summary,Gregory Hoblit,Bill Carraro,Alar Kivilo,New Line Cinema
The Replacements,44737059,50054511,50000000.0,118.0,Comedy,PG-13,https://pro.imdb.com/title/tt0191397?ref_=mojo_rl_summary&rf=mojo_rl_summary,Howard Deutch,Dylan Sellers,Tak Fujimoto,Warner Bros.
