revenue,budget,runtime_minutes,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Drama,genres_Horror,genres_other_genres,rating_PG-13,rating_R,distributor_Sony Pictures Entertainment (SPE),distributor_Twentieth Century Fox,distributor_Universal Pictures,distributor_Walt Disney Studios Motion Pictures,distributor_Warner Bros.,distributor_other_distributor
73180723,13000000.0,83.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
55707411,40000000.0,123.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
36609995,24000000.0,115.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47383689,60000000.0,122.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
39459427,80000000.0,126.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
40400425,60000000.0,117.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40443010,65000000.0,107.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47267829,30000000.0,97.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
48350205,40000000.0,127.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
27728118,20000000.0,124.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
47126295,30000000.0,113.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
47737094,15000000.0,90.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
62761005,65000000.0,135.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35134820,76000000.0,92.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29360400,35000000.0,110.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
87423861,100000000.0,132.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
92938755,17000000.0,88.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
32168970,42000000.0,104.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
25850615,35000000.0,94.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
48451803,37000000.0,188.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
29725663,73000000.0,118.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38574362,14000000.0,97.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
24419914,11000000.0,91.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
33426588,55000000.0,107.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
113996937,92000000.0,148.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22361811,20000000.0,126.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
672806292,40000000.0,107.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
29934477,25000000.0,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33463969,80000000.0,106.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26385941,29000000.0,115.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
20789556,10000000.0,90.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
109280263,5000000.0,110.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
31355910,50000000.0,97.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
17589705,35000000.0,109.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
18404706,20000000.0,98.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
15906764,37000000.0,96.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
15471969,51000000.0,119.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
